epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.239109,1.10561,2.63944,1.42649,0.60813,0.89041,0.88774,0.616,1.40802,1.31368,1.26242,0,0,0
2,0.519948,0.92869,2.92672,1.2729,0.55703,0.83333,0.87182,0.61936,1.39552,1.32727,1.2545,1.17822e-06,1.17822e-06,1.17822e-06
3,0.788782,1.04722,3.0281,1.42622,0.57789,0.83333,0.87213,0.61839,1.43276,1.34632,1.26758,2.33288e-06,2.33288e-06,2.33288e-06
4,1.0688,1.43071,2.57303,1.73645,0.54062,0.83333,0.87209,0.61184,1.43628,1.3804,1.26831,3.46397e-06,3.46397e-06,3.46397e-06
5,1.3692,1.29148,2.50104,1.71099,0.566,0.83333,0.87069,0.60993,1.44987,1.40521,1.27577,4.5715e-06,4.5715e-06,4.5715e-06
6,1.73252,1.03456,2.50528,1.37658,0.60347,0.83333,0.88468,0.5947,1.46796,1.46136,1.28944,5.65548e-06,5.65548e-06,5.65548e-06
7,2.13251,1.1897,2.46236,1.48206,0.67005,0.75,0.88595,0.57852,1.49837,1.49369,1.3052,6.71588e-06,6.71588e-06,6.71588e-06
8,2.50374,1.09819,3.0453,1.3666,0.81361,0.57839,0.88266,0.57339,1.51756,1.55901,1.32108,7.75273e-06,7.75273e-06,7.75273e-06
9,2.88177,1.11784,2.73556,1.36892,0.79498,0.58333,0.88248,0.54827,1.53634,1.63185,1.33486,8.76602e-06,8.76602e-06,8.76602e-06
10,3.25765,0.96753,1.8212,1.3147,0.7873,0.58333,0.88131,0.54747,1.56233,1.65362,1.34972,9.75574e-06,9.75574e-06,9.75574e-06
11,3.59396,0.75672,2.19387,1.26646,0.78146,0.58333,0.77674,0.53696,1.56364,1.71145,1.3612,1.07219e-05,1.07219e-05,1.07219e-05
12,3.95173,1.03688,2.25226,1.45449,0.76471,0.58333,0.7419,0.52408,1.55583,1.74123,1.35814,1.16645e-05,1.16645e-05,1.16645e-05
13,4.30613,0.92792,2.83667,1.33698,0.74584,0.58333,0.74196,0.5241,1.55051,1.76362,1.35996,1.25835e-05,1.25835e-05,1.25835e-05
14,4.66476,0.95472,2.38235,1.32002,0.69531,0.58333,0.74181,0.57385,1.54682,1.77833,1.35775,1.3479e-05,1.3479e-05,1.3479e-05
15,5.04243,0.98969,2.28827,1.34584,0.71843,0.58333,0.74191,0.55808,1.52135,1.78674,1.349,1.43509e-05,1.43509e-05,1.43509e-05
16,5.39661,0.82537,2.34467,1.34057,0.93584,0.38333,0.74207,0.57469,1.52335,1.78371,1.35294,1.51993e-05,1.51993e-05,1.51993e-05
17,5.79924,1.23254,2.44921,1.6357,0.93547,0.38333,0.65872,0.49997,1.51293,1.82484,1.35619,1.60241e-05,1.60241e-05,1.60241e-05
18,6.12705,0.92448,1.78244,1.35894,0.93547,0.38333,0.65872,0.49997,1.51293,1.82484,1.35619,1.68253e-05,1.68253e-05,1.68253e-05
19,6.4882,1.11197,2.36234,1.36666,0.93842,0.38333,0.66061,0.46256,1.52089,1.89161,1.35473,1.7603e-05,1.7603e-05,1.7603e-05
20,6.82194,0.88123,1.52354,1.14167,0.93842,0.38333,0.66061,0.46256,1.52089,1.89161,1.35473,1.83571e-05,1.83571e-05,1.83571e-05
21,7.18937,1.05322,2.29039,1.45555,0.93725,0.38333,0.59064,0.45771,1.55817,1.96785,1.3773,1.90876e-05,1.90876e-05,1.90876e-05
22,7.51858,1.05946,2.77791,1.5207,0.93725,0.38333,0.59064,0.45771,1.55817,1.96785,1.3773,1.97946e-05,1.97946e-05,1.97946e-05
