epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.315291,1.10561,2.63944,1.42649,0.60813,0.89041,0.88774,0.616,1.40802,1.31368,1.26242,0,0,0
2,0.626201,0.92869,2.92672,1.2729,0.55703,0.83333,0.87182,0.61936,1.39552,1.32727,1.2545,1.17822e-06,1.17822e-06,1.17822e-06
3,0.920956,1.04722,3.0281,1.42622,0.57789,0.83333,0.87213,0.61839,1.43276,1.34632,1.26758,2.33288e-06,2.33288e-06,2.33288e-06
4,1.23232,1.43071,2.57303,1.73645,0.54062,0.83333,0.87209,0.61184,1.43628,1.3804,1.26831,3.46397e-06,3.46397e-06,3.46397e-06
5,1.55786,1.29148,2.50104,1.71099,0.56567,0.83333,0.87075,0.60994,1.44927,1.40464,1.27554,4.5715e-06,4.5715e-06,4.5715e-06
6,1.97167,1.03581,2.50637,1.37769,0.60054,0.83333,0.88466,0.59468,1.46568,1.46075,1.28849,5.65548e-06,5.65548e-06,5.65548e-06
7,2.41548,1.18747,2.46134,1.48205,0.66907,0.75,0.8859,0.57854,1.49055,1.49425,1.29781,6.71588e-06,6.71588e-06,6.71588e-06
8,2.85022,1.09749,3.04571,1.36676,0.81229,0.57941,0.88269,0.5734,1.51827,1.55994,1.32182,7.75273e-06,7.75273e-06,7.75273e-06
9,3.25472,1.11832,2.73356,1.36868,0.79402,0.58333,0.88253,0.54829,1.53977,1.6313,1.3366,8.76602e-06,8.76602e-06,8.76602e-06
10,3.67167,0.96687,1.82199,1.3142,0.78812,0.58333,0.88136,0.54749,1.55975,1.64982,1.349,9.75574e-06,9.75574e-06,9.75574e-06
11,4.05807,0.75243,2.19988,1.2629,0.78109,0.58333,0.77775,0.53747,1.57185,1.71631,1.36383,1.07219e-05,1.07219e-05,1.07219e-05
12,4.47565,1.0382,2.25133,1.4562,0.76697,0.58333,0.74188,0.52407,1.55814,1.73532,1.36225,1.16645e-05,1.16645e-05,1.16645e-05
13,4.87212,0.92475,2.82674,1.33329,0.74626,0.58333,0.74197,0.5241,1.55381,1.75802,1.35915,1.25835e-05,1.25835e-05,1.25835e-05
14,5.28555,0.95457,2.37962,1.31992,0.69572,0.58333,0.74168,0.57178,1.53851,1.77801,1.3533,1.3479e-05,1.3479e-05,1.3479e-05
15,5.69154,0.98795,2.28617,1.34462,0.7207,0.58333,0.7421,0.57476,1.51269,1.78021,1.3462,1.43509e-05,1.43509e-05,1.43509e-05
16,6.09501,0.82376,2.34235,1.34075,0.93575,0.38333,0.74199,0.57467,1.52257,1.78418,1.35041,1.51993e-05,1.51993e-05,1.51993e-05
17,6.52858,1.23169,2.44991,1.63479,0.93615,0.38333,0.65887,0.50001,1.51319,1.82567,1.35635,1.60241e-05,1.60241e-05,1.60241e-05
18,6.88811,0.92596,1.78476,1.36042,0.93615,0.38333,0.65887,0.50001,1.51319,1.82567,1.35635,1.68253e-05,1.68253e-05,1.68253e-05
19,7.31025,1.1134,2.36037,1.36707,0.93844,0.38333,0.66071,0.46261,1.51801,1.885,1.35389,1.7603e-05,1.7603e-05,1.7603e-05
20,7.6849,0.882,1.51947,1.14071,0.93844,0.38333,0.66071,0.46261,1.51801,1.885,1.35389,1.83571e-05,1.83571e-05,1.83571e-05
21,8.11179,1.05053,2.29055,1.45488,0.93713,0.38333,0.5917,0.45846,1.55774,1.96673,1.37776,1.90876e-05,1.90876e-05,1.90876e-05
22,8.48183,1.06063,2.78847,1.52234,0.93713,0.38333,0.5917,0.45846,1.55774,1.96673,1.37776,1.97946e-05,1.97946e-05,1.97946e-05
23,8.90946,0.73504,1.55796,1.16413,0.93545,0.38333,0.60511,0.45832,1.58009,2.049,1.3933,2.0478e-05,2.0478e-05,2.0478e-05
24,9.29036,0.98052,1.66518,1.25961,0.93545,0.38333,0.60511,0.45832,1.58009,2.049,1.3933,2.11379e-05,2.11379e-05,2.11379e-05
25,9.69638,1.10352,2.28371,1.43611,0.93519,0.38333,0.61073,0.43922,1.61431,2.1194,1.41622,2.17741e-05,2.17741e-05,2.17741e-05
26,10.0811,1.15304,2.2935,1.49565,0.93519,0.38333,0.61073,0.43922,1.61431,2.1194,1.41622,2.23869e-05,2.23869e-05,2.23869e-05
27,10.5052,0.84414,1.55929,1.22586,0.766,0.38333,0.60956,0.43422,1.63881,2.15406,1.43007,2.2976e-05,2.2976e-05,2.2976e-05
28,10.867,1.15083,1.55187,1.48912,0.766,0.38333,0.60956,0.43422,1.63881,2.15406,1.43007,2.35417e-05,2.35417e-05,2.35417e-05
29,11.3057,1.3166,3.05095,1.59022,0.76536,0.38333,0.59033,0.43146,1.69684,2.21163,1.47387,2.40837e-05,2.40837e-05,2.40837e-05
30,11.6776,0.75447,1.35566,1.13585,0.76536,0.38333,0.59033,0.43146,1.69684,2.21163,1.47387,2.46022e-05,2.46022e-05,2.46022e-05
31,12.0922,0.85686,1.50057,1.24678,0.76292,0.38333,0.5769,0.42376,1.71749,2.25405,1.4922,2.50971e-05,2.50971e-05,2.50971e-05
